metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
data_sent,1710879673,0.000000,,,,,::setup,,,,,,,,,,,
data_received,1710879673,0.000000,,,,,::setup,,,,,,,,,,,
iteration_duration,1710879673,126.618535,,,,,::setup,,,,,,,,,,,
http_reqs,1710879674,1.000000,,,,true,,GET,https://httpbin.test.k6.io/,HTTP/1.1,default,,200,,tls1.3,https://httpbin.test.k6.io/,,
http_req_duration,1710879674,175.458952,,,,true,,GET,https://httpbin.test.k6.io/,HTTP/1.1,default,,200,,tls1.3,https://httpbin.test.k6.io/,,
http_req_blocked,1710879674,430.888402,,,,true,,GET,https://httpbin.test.k6.io/,HTTP/1.1,default,,200,,tls1.3,https://httpbin.test.k6.io/,,
http_req_connecting,1710879674,168.599962,,,,true,,GET,https://httpbin.test.k6.io/,HTTP/1.1,default,,200,,tls1.3,https://httpbin.test.k6.io/,,
http_req_tls_handshaking,1710879674,167.353837,,,,true,,GET,https://httpbin.test.k6.io/,HTTP/1.1,default,,200,,tls1.3,https://httpbin.test.k6.io/,,
http_req_sending,1710879674,0.053899,,,,true,,GET,https://httpbin.test.k6.io/,HTTP/1.1,default,,200,,tls1.3,https://httpbin.test.k6.io/,,
http_req_waiting,1710879674,172.618468,,,,true,,GET,https://httpbin.test.k6.io/,HTTP/1.1,default,,200,,tls1.3,https://httpbin.test.k6.io/,,
http_req_receiving,1710879674,2.786585,,,,true,,GET,https://httpbin.test.k6.io/,HTTP/1.1,default,,200,,tls1.3,https://httpbin.test.k6.io/,,
http_req_failed,1710879674,0.000000,,,,true,,GET,https://httpbin.test.k6.io/,HTTP/1.1,default,,200,,tls1.3,https://httpbin.test.k6.io/,,
checks,1710879674,1.000000,status was 200,,,,,,,,default,,,,,,,
vus,1710879674,2.000000,,,,,,,,,,,,,,,,
vus_max,1710879674,100.000000,,,,,,,,,,,,,,,,
http_reqs,1710879675,1.000000,,,,true,,GET,https://httpbin.test.k6.io/,HTTP/1.1,default,,200,,tls1.3,https://httpbin.test.k6.io/,,
http_req_duration,1710879675,179.610578,,,,true,,GET,https://httpbin.test.k6.io/,HTTP/1.1,default,,200,,tls1.3,https://httpbin.test.k6.io/,,
http_req_blocked,1710879675,354.418556,,,,true,,GET,https://httpbin.test.k6.io/,HTTP/1.1,default,,200,,tls1.3,https://httpbin.test.k6.io/,,
http_req_connecting,1710879675,174.975603,,,,true,,GET,https://httpbin.test.k6.io/,HTTP/1.1,default,,200,,tls1.3,https://httpbin.test.k6.io/,,
http_req_tls_handshaking,1710879675,179.315257,,,,true,,GET,https://httpbin.test.k6.io/,HTTP/1.1,default,,200,,tls1.3,https://httpbin.test.k6.io/,,
http_req_sending,1710879675,0.044608,,,,true,,GET,https://httpbin.test.k6.io/,HTTP/1.1,default,,200,,tls1.3,https://httpbin.test.k6.io/,,
http_req_waiting,1710879675,179.390640,,,,true,,GET,https://httpbin.test.k6.io/,HTTP/1.1,default,,200,,tls1.3,https://httpbin.test.k6.io/,,
http_req_receiving,1710879675,0.175330,,,,true,,GET,https://httpbin.test.k6.io/,HTTP/1.1,default,,200,,tls1.3,https://httpbin.test.k6.io/,,
http_req_failed,1710879675,0.000000,,,,true,,GET,https://httpbin.test.k6.io/,HTTP/1.1,default,,200,,tls1.3,https://httpbin.test.k6.io/,,
checks,1710879675,1.000000,status was 200,,,,,,,,default,,,,,,,
data_sent,1710879675,448.000000,,,,,,,,,default,,,,,,,
data_received,1710879675,15310.000000,,,,,,,,,default,,,,,,,
iteration_duration,1710879675,1607.989385,,,,,,,,,default,,,,,,,
iterations,1710879675,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1710879675,1.000000,,,,true,,GET,https://httpbin.test.k6.io/,HTTP/1.1,default,,200,,tls1.3,https://httpbin.test.k6.io/,,
http_req_duration,1710879675,169.363204,,,,true,,GET,https://httpbin.test.k6.io/,HTTP/1.1,default,,200,,tls1.3,https://httpbin.test.k6.io/,,
http_req_blocked,1710879675,0.003647,,,,true,,GET,https://httpbin.test.k6.io/,HTTP/1.1,default,,200,,tls1.3,https://httpbin.test.k6.io/,,
http_req_connecting,1710879675,0.000000,,,,true,,GET,https://httpbin.test.k6.io/,HTTP/1.1,default,,200,,tls1.3,https://httpbin.test.k6.io/,,
